书名,作者,出版社,年份,评分,评价人数,一句话评语
红楼梦,[清] 曹雪芹 著 , 人民文学出版社 , 1996-12 ,9.6,380461,都云作者痴，谁解其中味？
活着,余华 , 作家出版社 , 2012-8-1 ,9.4,715215,生的苦难与伟大
1984,[英] 乔治·奥威尔 , 北京十月文艺出版社 , 2010-4-1 ,9.4,247100,栗树荫下，我出卖你，你出卖我
百年孤独,[哥伦比亚] 加西亚·马尔克斯 , 南海出版公司 , 2011-6 ,9.3,382812,魔幻现实主义文学代表作
三体全集,刘慈欣 , 重庆出版社 , 2012-1-1 ,9.5,142774,地球往事三部曲
飘,[美国] 玛格丽特·米切尔 , 译林出版社 , 2000-9 ,9.3,196102,革命时期的爱情，随风而逝
哈利·波特,J.K.罗琳 (J.K.Rowling) , 人民文学出版社 , 2008-12-1 ,9.7,77132,从9¾站台开始的旅程
房思琪的初恋乐园,林奕含 , 北京联合出版公司 , 2018-2 ,9.2,323965,向死而生的文学绝唱
三国演义（全二册）,[明] 罗贯中 , 人民文学出版社 , 1998-05 ,9.3,152476,是非成败转头空
动物农场,[英] 乔治·奥威尔 , 上海译文出版社 , 2007-3 ,9.3,137430,太阳底下并无新事
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 , 群众出版社 , 1981-8 ,9.3,120379,名侦探的代名词
白夜行,[日] 东野圭吾 , 南海出版公司 , 2013-1-1 ,9.2,406267,一宗离奇命案牵出跨度近20年步步惊心的故事
小王子,[法] 圣埃克苏佩里 , 人民文学出版社 , 2003-8 ,9.1,700613,献给长成了大人的孩子们
天龙八部,金庸 , 生活·读书·新知三联书店 , 1994-5 ,9.2,123169,有情皆孽，无人不冤
安徒生童话故事集,（丹麦）安徒生 , 人民文学出版社 , 1997-08 ,9.2,117569,为了争取未来的一代
撒哈拉的故事,三毛 , 哈尔滨出版社 , 2003-8 ,9.2,144821,游荡的自由灵魂
杀死一只知更鸟,[美] 哈珀·李 , 译林出版社 , 2012-9 ,9.2,124734,有一种东西不能遵循从众原则，那就是——人的良心
呐喊,鲁迅 , 人民文学出版社 , 1973-3 ,9.1,138382,新文学的第一声呐喊
明朝那些事儿（1-9）,当年明月 , 中国海关出版社 , 2009-4 ,9.2,143885,不拘一格的历史书写
沉默的大多数,王小波 , 中国青年出版社 , 1997-10 ,9.1,136813,沉默是沉默者的通行证
失踪的孩子,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2018-7 ,9.2,64104,我的整个生命，只是一场为了提升社会地位的低俗斗争。
新名字的故事,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2017-4 ,9.2,74585,探索青年时代的激情、困惑、挣扎、背叛和失去
局外人,[法] 阿尔贝·加缪 , 上海译文出版社 , 2010-8 ,9.1,203146,人生在世，永远也不该演戏作假
中国历代政治得失,钱穆 , 生活·读书·新知三联书店 , 2001 ,9.2,61029,一部简明的“中国政治制度史”
人类简史,[以色列] 尤瓦尔·赫拉利 , 中信出版社 , 2014-11 ,9.1,179035,跟着人类一同走过十万年
平凡的世界（全三部）,路遥 , 人民文学出版社 , 2005-1 ,9.0,301494,中国当代城乡生活全景
围城,钱锺书 , 人民文学出版社 , 1991-2 ,9.0,425828,幽默的语言和对生活深刻的观察
笑傲江湖（全四册）,金庸 , 生活·读书·新知三联书店 , 1994-5 ,9.1,103964,欲练此功，必先自宫
乡土中国,费孝通 , 上海人民出版社 , 2006-04-01 ,9.2,69812,中国乡土社会传统文化和社会结构理论研究代表作
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 , 南海出版公司 , 2012-9-1 ,9.0,252807,义无反顾地直达爱情的核心
野草,鲁迅 , 人民文学出版社 , 1973-3 ,9.5,37143,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。
白鹿原,陈忠实 , 人民文学出版社 , 2012-9 ,9.3,86999,一轴关于我们民族灵魂的现实主义画卷
邓小平时代,[美] 傅高义 , 生活·读书·新知三联书店 , 2013-1 ,9.3,52594,个人命运背后的历史变局
东方快车谋杀案,[英] 阿加莎·克里斯蒂 , 人民文学出版社 , 2006-5 ,9.1,125858,谋杀诡计惊人，波洛的抉择耐人寻味
肖申克的救赎,[美] 斯蒂芬·金 , 人民文学出版社 , 2006-7 ,9.1,110594,豆瓣电影Top1原著
悉达多,[德] 赫尔曼·黑塞 , 天津人民出版社 , 2017-1 ,9.3,40851, 
基督山伯爵,[法国] 大仲马 , 上海译文出版社 , 1991-12-1 ,9.0,120958,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景
江城,[美] 彼得·海斯勒 , 上海译文出版社 , 2012-1 ,9.1,53913,外国人眼中的涪陵
月亮和六便士,[英] 毛姆 , 上海译文出版社 , 2006-8 ,9.0,188422,有多少人会经历顿悟，就有更少的人甘愿自我放逐
我与地坛,史铁生 , 春风文艺出版社 , 2002-5 ,9.2,87988,这是你的罪孽与福祉
万历十五年,[美] 黄仁宇 , 生活·读书·新知三联书店 , 1997-5 ,9.0,182418,见微知著，历史观的颠覆
彷徨,鲁迅 , 人民文学出版社 , 1973-3 ,9.2,53486,路漫漫其修远兮，吾将上下而求索
城南旧事,林海音 文 , 中国青年出版社 , 2003-7 ,9.1,137801,长亭外，古道边，芳草碧连天
